id,title,brand,gtin,mpn,price,availability,condition,google_product_category,product_type,link,image_link,custom_label_0,custom_label_1,custom_label_2
SKU-1001,Wham Storage Crystal Clear Plastic Storage Box 24 Litre Stackable with Clip Lid Home Organiser,Wham,5012345600018,WH-CB24,12.99 GBP,in_stock,new,Home & Garden > Household Supplies > Storage,Storage > Boxes,https://example-homestore.co.uk/p/SKU-1001,https://example-homestore.co.uk/img/SKU-1001.jpg,bestseller,core-range,high-margin
SKU-1002,Joseph Joseph Nest 9 Plus Compact Food Storage Container Set 9 Piece Stackable Kitchen,Joseph Joseph,5012345600025,JJ-NEST9,34.00 GBP,in_stock,new,Home & Garden > Kitchen & Dining > Food Storage,Kitchen > Containers,https://example-homestore.co.uk/p/SKU-1002,https://example-homestore.co.uk/img/SKU-1002.jpg,bestseller,core-range,high-margin
SKU-1003,Brabantia NewIcon Pedal Bin 30 Litre Soft Close Stainless Steel Kitchen Waste Bin Matt Steel,Brabantia,5012345600032,BR-NI30,79.99 GBP,in_stock,new,Home & Garden > Household Supplies > Waste Containers,Kitchen > Bins,https://example-homestore.co.uk/p/SKU-1003,https://example-homestore.co.uk/img/SKU-1003.jpg,core-range,premium,high-margin
SKU-1004,Russell Hobbs Inspire Stainless Steel Electric Kettle 1.7 Litre 3000W Rapid Boil White,Russell Hobbs,5012345600049,RH-INSP17,29.99 GBP,in_stock,new,Home & Garden > Kitchen & Dining > Kitchen Appliances,Appliances > Kettles,https://example-homestore.co.uk/p/SKU-1004,https://example-homestore.co.uk/img/SKU-1004.jpg,core-range,electricals,mid-margin
SKU-1005,Tower Cavaletto 4 Slice Toaster Black and Rose Gold with Defrost Reheat and Browning Control,Tower,5012345600056,TW-CAV4,44.99 GBP,in_stock,new,Home & Garden > Kitchen & Dining > Kitchen Appliances,Appliances > Toasters,https://example-homestore.co.uk/p/SKU-1005,https://example-homestore.co.uk/img/SKU-1005.jpg,bestseller,electricals,high-margin
SKU-1006,Curver Knit Rectangular Storage Basket 11 Litre Oasis White Woven Plastic with Carry Handles,Curver,5012345600063,CV-KNIT11,9.99 GBP,in_stock,new,Home & Garden > Household Supplies > Storage,Storage > Baskets,https://example-homestore.co.uk/p/SKU-1006,https://example-homestore.co.uk/img/SKU-1006.jpg,core-range,mid-margin,
SKU-1007,Sistema Klip It Plus Rectangular Food Storage Container 1 Litre BPA Free Microwave Safe Clear,Sistema,5012345600070,SI-KIP1,4.49 GBP,in_stock,new,Home & Garden > Kitchen & Dining > Food Storage,Kitchen > Containers,https://example-homestore.co.uk/p/SKU-1007,https://example-homestore.co.uk/img/SKU-1007.jpg,core-range,low-margin,
SKU-1008,Addis Premium Soft Grip Washing Up Bowl 9.5 Litre Linen Rectangular Kitchen Sink Bowl,Addis,5012345600087,AD-WUB95,6.99 GBP,in_stock,new,Home & Garden > Kitchen & Dining > Kitchen Tools,Kitchen > Sink,https://example-homestore.co.uk/p/SKU-1008,https://example-homestore.co.uk/img/SKU-1008.jpg,core-range,mid-margin,
SKU-1009,VonHaus Oscillating Tower Fan 30 Inch 3 Speed Free Standing Cooling Fan with 7.5 Hour Timer,VonHaus,5012345600094,VH-TF30,39.99 GBP,in_stock,new,Home & Garden > Household Appliances > Climate Control,Appliances > Fans,https://example-homestore.co.uk/p/SKU-1009,https://example-homestore.co.uk/img/SKU-1009.jpg,seasonal,electricals,high-margin
SKU-1010,Kilner Round Clip Top Glass Preserve Jar 1 Litre Airtight Storage Jar for Kitchen Pantry,Kilner,5012345600100,KL-CT1L,5.50 GBP,in_stock,new,Home & Garden > Kitchen & Dining > Food Storage,Kitchen > Jars,https://example-homestore.co.uk/p/SKU-1010,https://example-homestore.co.uk/img/SKU-1010.jpg,core-range,low-margin,
